bit,coefficient
222,0.7238573068515777
223,0.2062020860239374
224,0.20036282712499526
225,0.5258531655529312
226,-0.03175030414267023
227,0.6383374201903329
228,-0.6854184713546453
229,-0.22990780455345955
230,-0.7477951344508189
231,-0.4133474192378334
232,0.5730384726603949
233,0.08246292616424875
234,-0.8079798293482449
235,-0.3543419000716904
236,-1.3778983409802172
237,-0.07050520374805641
238,0.17041163806725484
239,-0.44782268803897884
240,-0.026054325467029522
241,-0.016987830353674748
242,-0.23083453415221797
243,-0.3336140092027383
244,0.26671009923703204
245,-0.47778984535387653
246,-0.25939852851326656
247,0.18799926723569838
248,-0.7300285453628913
249,0.30781078208750157
250,0.6413074621646329
251,-0.1966016178440659
252,-0.5006184278048863
253,0.143496200593026
254,-0.2391509369674282
255,0.2008415424561541
256,0.1295330093258386
257,-0.43849139457883113
258,-1.1228875389085644
259,-0.03799822285568352
260,-0.8980182499714178
261,-1.281109101898967
262,-0.2151102943789317
263,-0.5431029677866076
264,-0.3210650892943749
265,0.01720107726858347
266,-1.0861416865920426
267,-0.22548814512104687
268,-2.8492709166809
269,-0.6088452817086857
270,-0.4326364290940214
271,-0.2158147014503742
272,0.1040589467184814
273,-0.0719804131243619
274,-0.4570776754646989
275,-0.07795480959012108
276,0.007440032249922589
277,0.24949073320497736
278,-0.40452448292950566
279,0.6441169624275163
280,0.32993645300855323
281,0.3654349546752365
282,-0.3744900936720689
283,0.1398918142766026
284,0.5749645927936978
285,-0.7578036214536211
286,-0.26008026581939514
287,-0.06655589506223107
288,-0.8058999878859674
289,0.27409665448114784
290,0.6032248964171096
291,0.016481701087086582
292,0.15769785129078465
293,-0.3952258465066719
294,0.0013243591652531
295,-0.6165490921020558
296,-0.3224453817853024
297,-1.1849999771294455
298,0.3461880948730524
299,0.9221317330017057
300,-0.28352452451418386
301,0.5995124019562389
302,-0.6419929882562511
303,-0.7647804121334691
304,-0.42036798964634353
305,0.0995351565361194
306,-1.0489229222305865
307,0.3471065730639533
308,-0.15323906927691236
309,-0.46178569630408345
310,-0.26273470844614394
311,0.31027031604300653
312,0.44946003885163893
313,0.2742845179413824
314,0.684207360125191
315,0.8022287749821979
316,-0.022194102225120214
317,0.14168888911314642
318,0.4528711120774363
319,-0.7543657075438159
320,-0.4425068385575254
321,0.3023807161493019
322,-0.6329802248648937
323,-0.6439902684454811
324,0.21709462961308712
325,-0.2279584742129042
326,-0.18458963549262705
327,-0.7815206333676786
328,0.007190862319928621
329,0.24271708176444806
330,-1.311602115001153
331,-0.9873644473754852
332,0.03461150931430251
333,-0.500516477421469
334,-0.5736774631769528
335,0.30333354083346387
336,0.1914494223227267
337,-0.16230291518625853
338,0.014030404131631171
339,-0.11674116527391142
340,-0.036312837905830536
341,0.3559153369797298
342,0.35054500759034285
343,-0.05751401759485908
344,0.7308224663869973
345,-0.056433108133779816
346,0.9947513759495386
347,-0.656960154816848
348,-0.02159010340850502
349,-0.8764850448979746
350,0.05189477107549616
351,-0.3537473970756925
352,-0.9630260168459828
353,0.2578326600183647
354,-0.2943729942911878
355,0.8159789053827949
356,-0.6011441406281184
357,-0.4253020013934387
358,0.09906256486979269
359,-0.04567874713557179
360,0.14575607513855665
361,-0.4303562226659415
362,-0.016260480069433373
363,0.24315897720312302
364,-0.10083699297161021
365,-0.5600043387673753
366,-0.05101245963521317
367,-0.04293065735859867
368,-0.3320658145120446
369,-0.5280771641388495
370,0.23568236320843683
371,-0.37268894131626273
372,0.04949425429059896
373,-1.0736889961551974
374,0.17737685991063698
375,-0.4419823017419617
376,0.040191847719138765
377,0.03778776796005805
378,0.5530972363839713
379,0.2555313302619152
380,0.14918507396750644
381,0.017428498821682015
382,0.6449221065987081
383,-0.20265924749959208
384,0.05748314739631394
385,-0.7025771560965816
386,0.7696830098099421
387,0.21117136702893205
388,-0.6453972044201712
389,0.3160696463155622
390,-0.7441463609107489
391,-0.9783002376171152
392,-0.24813924234685072
393,-0.3096796488164471
